Date,Close/Last,Volume,Open,High,Low
09/10/2024,$467.08,319107,$471.30,$471.57,$462.45
09/09/2024,$471.98,172020,$471.66,$475.48,$470.3663
09/06/2024,$470.70,287075,$482.65,$484.22,$469.335
09/05/2024,$477.15,286789,$472.92,$478.05,$471.24
09/04/2024,$486.92,270514,$484.00,$487.50,$478.60
09/03/2024,$486.68,248668,$497.66,$498.23,$484.54
08/30/2024,$496.79,227000,$494.28,$496.79,$491.87
08/29/2024,$490.59,222706,$489.24,$495.3848,$487.0901
08/28/2024,$486.74,160392,$490.56,$490.9195,$484.52
08/27/2024,$489.26,298597,$482.76,$491.59,$482.14
08/26/2024,$479.85,156255,$482.21,$482.26,$479.57
08/23/2024,$483.94,214685,$480.50,$484.26,$480.20
08/22/2024,$477.04,348495,$480.39,$481.20,$473.77
08/21/2024,$478.79,387534,$475.11,$480.76,$474.18
08/20/2024,$466.73,202053,$468.00,$469.80,$465.14
08/19/2024,$463.06,266403,$460.57,$466.20,$460.57
08/16/2024,$459.70,316054,$458.08,$460.89,$456.69
08/15/2024,$454.13,425153,$458.33,$463.00,$453.35
08/14/2024,$452.90,718855,$437.84,$456.41,$437.84
08/13/2024,$431.81,205388,$423.92,$432.535,$423.4047
08/12/2024,$422.33,140753,$420.99,$423.53,$418.50
08/09/2024,$420.11,193365,$421.11,$422.26,$419.39
08/08/2024,$420.55,164209,$415.65,$421.84,$412.20
08/07/2024,$417.95,190181,$425.44,$426.30,$417.25
08/06/2024,$416.82,296430,$414.89,$421.72,$414.42
08/05/2024,$422.78,546900,$414.35,$428.38,$413.01
08/02/2024,$433.59,535440,$424.12,$433.75,$422.32
08/01/2024,$421.62,410548,$429.42,$433.98,$416.18
07/31/2024,$413.01,311117,$411.62,$416.07,$408.515
07/30/2024,$410.27,170043,$414.24,$415.14,$409.11
07/29/2024,$411.70,196851,$409.74,$412.23,$407.00
07/26/2024,$413.80,175953,$410.00,$415.8387,$408.48
07/25/2024,$405.92,265133,$408.78,$410.8248,$404.1501
07/24/2024,$413.67,259582,$416.40,$417.40,$413.00
07/23/2024,$423.17,152368,$421.26,$424.21,$421.04
07/22/2024,$427.19,236993,$421.24,$427.67,$419.70
07/19/2024,$416.31,102679,$419.52,$420.4799,$416.31
07/18/2024,$422.43,168507,$426.90,$427.07,$419.76
07/17/2024,$420.71,177296,$423.34,$424.27,$420.30
07/16/2024,$429.22,157902,$426.72,$429.84,$425.48
07/15/2024,$428.56,166624,$435.40,$435.54,$427.06
07/12/2024,$435.16,163630,$430.14,$436.54,$430.14
07/11/2024,$428.47,219415,$433.67,$434.46,$427.49
07/10/2024,$435.05,133618,$429.10,$435.05,$429.03
07/09/2024,$426.29,150836,$428.73,$430.08,$425.89
07/08/2024,$427.38,194449,$430.02,$430.28,$427.15
07/05/2024,$422.39,179961,$424.00,$425.00,$418.26
07/03/2024,$422.72,198243,$419.70,$422.72,$418.0478
07/02/2024,$414.38,234367,$406.38,$414.38,$405.96
07/01/2024,$410.24,187428,$411.00,$411.70,$408.50
06/28/2024,$408.37,246757,$409.87,$410.13,$407.1301
06/27/2024,$409.46,254158,$410.00,$412.21,$409.00
06/26/2024,$412.52,296225,$417.20,$418.44,$412.435
06/25/2024,$423.82,232399,$422.83,$425.045,$422.794
06/24/2024,$421.68,176720,$421.00,$423.3855,$419.9175
06/21/2024,$414.65,216467,$412.77,$414.88,$410.175
06/20/2024,$420.09,189777,$418.86,$420.61,$416.21
06/18/2024,$414.36,103151,$415.17,$415.17,$411.09
06/17/2024,$416.06,163149,$412.23,$417.55,$410.04
06/14/2024,$409.98,346641,$404.40,$410.18,$403.01
06/13/2024,$416.68,178798,$420.00,$420.90,$414.85
06/12/2024,$427.36,356722,$423.34,$429.14,$422.20
06/11/2024,$410.94,169062,$410.98,$412.385,$409.14
06/10/2024,$413.48,107104,$411.15,$414.19,$410.76
06/07/2024,$412.93,184240,$414.91,$416.70,$411.89
06/06/2024,$416.92,393522,$423.18,$423.54,$416.49
06/05/2024,$422.40,331387,$420.58,$422.705,$417.00
06/04/2024,$410.74,195123,$410.56,$413.36,$410.10
06/03/2024,$409.05,147495,$409.28,$411.18,$406.31
05/31/2024,$411.00,177603,$408.56,$411.22,$407.27
05/30/2024,$408.98,116015,$407.62,$410.97,$407.40
05/29/2024,$406.19,257260,$406.84,$407.88,$404.84
05/28/2024,$412.14,174995,$415.14,$415.14,$410.15
05/24/2024,$416.16,169697,$416.32,$418.50,$415.52
05/23/2024,$413.53,153355,$417.98,$418.595,$412.44
05/22/2024,$415.05,223234,$417.91,$418.71,$413.8087
05/21/2024,$418.37,225933,$414.65,$418.58,$414.18
05/20/2024,$416.65,185419,$419.66,$420.60,$416.4041
05/17/2024,$422.30,182930,$421.23,$423.84,$419.76
05/16/2024,$419.57,266836,$420.70,$421.72,$418.42
05/15/2024,$417.21,307651,$411.55,$421.34,$411.02
05/14/2024,$411.02,135419,$406.98,$411.66,$406.73
05/13/2024,$405.73,174759,$406.40,$408.37,$405.46
05/10/2024,$405.00,222446,$403.32,$405.505,$400.47
05/09/2024,$407.43,255337,$404.21,$408.27,$404.07
05/08/2024,$406.22,442563,$400.00,$409.26,$399.27
05/07/2024,$401.00,966786,$419.52,$420.78,$401.00
05/06/2024,$427.66,307543,$426.63,$428.52,$425.46
05/03/2024,$430.29,288971,$432.07,$434.10,$428.82
05/02/2024,$424.56,214124,$423.29,$425.00,$419.86
05/01/2024,$415.94,109895,$417.95,$421.58,$414.31
04/30/2024,$415.70,217700,$416.55,$419.52,$413.0066
04/29/2024,$422.44,146783,$418.92,$422.75,$417.6923
04/26/2024,$422.46,217590,$417.02,$422.73,$416.73
04/25/2024,$412.21,510115,$411.62,$415.025,$409.8601
04/24/2024,$420.33,237357,$422.58,$424.91,$418.00
04/23/2024,$424.74,273362,$418.60,$425.55,$417.54
04/22/2024,$410.27,179936,$406.48,$410.915,$405.505
04/19/2024,$408.65,282950,$415.83,$416.70,$408.10
04/18/2024,$412.62,216090,$413.98,$417.90,$410.34
04/17/2024,$416.00,264789,$419.22,$419.76,$413.415
